time,x,y,z,rx,ry,rz,xf,yf,zf,rxf,ryf,rzf,statusx,statusy,statusz
1.2487211227416992,97.64967497275438,0.001838122142102194,-0.020840683632773156,170.93476299019224,-23.540746850928212,39.699019026021844,97.64967497275438,98.41170080045283,1087.835002862533,0.05714862909794582,0.028073155674242564,0.11022999602847688,0,0,0
1.3693995475769043,97.61988316460457,0.01122846256540588,0.014538958199418537,171.14057247188543,-22.91938107220065,39.95116656908238,97.61988316460457,98.42316915487513,1087.771040241296,0.10950000411256212,0.18287659229193223,0.32154270317025735,0,0,0
1.5102064609527588,97.6651812276077,0.025182751235838047,0.06450377245397182,170.9362600136697,-23.448090262496027,39.941087692181505,97.6651812276077,98.43097067933657,1087.8419248048476,0.12844229571230825,0.2572263726902178,0.5986901001290705,0,0,0
1.630873441696167,97.5362048753127,0.023473500912844524,0.06269293241790884,171.5893903750825,-21.455061731108184,39.675374055805435,97.5362048753127,98.40651799032204,1087.6947003456721,0.24401482898684282,0.6046845164604486,0.5625984953183909,0,0,0
1.8099656105041504,97.61091958730314,0.02219281438676733,0.08354455423670777,171.20427723578848,-22.740145342262,39.89346975349915,97.61091958730314,98.41563204631017,1087.768773935121,0.26828474646227984,0.6637261914438294,0.4852792685838654,0,0,0
1.9426569938659668,97.6312591367429,0.018759996518473196,0.061590910015429635,170.9939460100341,-23.226818159127824,39.73293975162912,97.6312591367429,98.41078893811626,1087.8101557807568,0.23077725845590394,0.638861074269055,0.4067449479277532,0,0,0
2.0734095573425293,97.60589940481708,0.010041786363939448,0.03035120017487248,171.18722434443603,-22.77463353522127,39.750790192227214,97.60589940481708,98.40114666656363,1087.6950084362584,0.20621002746578543,0.5822689977223378,0.2688220027806843,0,0,0
2.1940701007843018,97.60652625366136,-0.006285667232027899,-0.022037004452157165,171.1613713249229,-22.94655213318572,39.459051196574755,97.60652625366136,98.38791535994872,1087.6955092299745,0.21247599857359828,0.5947968562161028,-0.009889214969520811,0,0,0
2.3147099018096924,97.51412369851109,-0.0032518902465358697,-0.12403941403095298,171.8976942224171,-21.28767002877014,41.40030268455792,97.51412369851109,98.43414736425729,1087.0819996709336,0.14027754425043892,0.26899595212581945,0.22823569270255495,0,0,0
2.4535021781921387,97.66587295378362,-0.00943278049357036,-0.12549653347172035,170.91193675841953,-23.738027039858117,39.27705557026615,97.66587295378362,98.39754878821432,1087.8778271416131,0.05797512055316563,0.021679383176357578,0.07687838633164143,0,0,0
2.576127052307129,97.65457444646411,-0.011905990279531433,-0.11461822231081606,170.6270019447636,-24.195556974866946,38.86174586918548,97.65457444646411,98.39448420026939,1087.8446858218854,-0.01312931232453851,-0.1910859146225017,-0.07376848669502868,0,0,0
2.7170565128326416,97.5586158637878,-0.012822387238885664,-0.09118587357424687,171.2540896106607,-22.543665001127465,38.35946616407302,97.5586158637878,98.37371642956977,1087.7612226761703,-0.009794571749536029,-0.17707385511712617,-0.27157953326256995,0,0,0
2.8376588821411133,97.55486355256484,-0.008690166411330247,-0.06480381518830675,171.33114429062147,-22.3939168073207,38.62009145507685,97.55486355256484,98.36966838744894,1087.7073909139092,-0.018949924244947916,-0.1683190593787576,-0.3302928821947765,0,0,0
2.9785397052764893,97.55306904366265,-0.026272262241658118,0.12878078347564373,171.3183894381332,-22.410902619688077,38.595807529145176,97.55306904366265,98.36070714436033,1087.612769936837,-0.17148268124077326,-0.3947116840278124,-1.1162984050253468,0,0,0
3.107154369354248,97.58292352481978,-0.026117531961649447,0.07165577883683284,171.14115916262955,-22.766729523053055,38.971494849775326,97.58292352481978,98.38063850798923,1087.6523685696618,-0.08236298127565515,-0.057790952785791695,-1.0649728810293868,0,0,0
3.239837408065796,97.6198263048619,-0.024314679623014472,0.03574756905352832,170.85428038332486,-23.534202435534542,39.196612202559386,97.6198263048619,98.38870531241655,1087.6697630047847,0.01951844519830747,0.221706524647295,-0.8582568238709345,0,0,0
3.39090895652771,97.60051924110505,-0.0063469003681871795,0.06653342329914004,171.49324560119524,-21.59546293549214,39.98134539719627,97.60051924110505,98.45011170517347,1088.0171010464342,0.04781345681542317,0.33592773949024635,-0.3329220205951338,0,0,0
3.521578550338745,97.75085056391535,0.004734281319944626,0.15997941513712544,170.33953472528748,-24.749949477014653,39.15600304448297,97.75085056391535,98.41797077831188,1088.2864943694879,-0.14504602756546278,-0.14888300229425905,-0.1023141533675238,0,0,0
3.6524271965026855,97.64054094024667,0.026608112519591994,0.11002986553031943,170.99182158150018,-23.23050876101817,39.89651090439876,97.64054094024667,98.41927232688141,1087.8421737771337,-0.10315574616588388,-0.09855972564654233,0.5779513135787456,0,0,0
3.8031535148620605,97.61856318153856,0.034874800021208956,0.15655665309251884,171.13623290584422,-22.912009624341398,39.93915436374308,97.61856318153856,98.41711605936604,1087.7234015017907,-0.13963337805653134,-0.2789446453797359,0.7760256506956112,0.2694133051697935,0.2694133051697935,0.2694133051697935
3.9420278072357178,97.58352133517367,0.030314045438457546,0.1750388716008183,171.09829464153913,-23.01529211247717,38.4163363567169,97.58352133517367,98.35493980980718,1087.6081976576513,-0.136909768306122,-0.3021718300128943,0.5942807799564148,0.2764763951054031,0.2764763951054031,0.2764763951054031
4.074742317199707,97.70422178104616,0.01712153936644519,0.12923595784008188,171.1623976036881,-22.974912381013702,40.94741361399679,97.70422178104616,98.44643594668669,1087.9985044788536,-0.22794540418018555,-0.6760187577127352,0.48340585038128836,0.28651827235977656,0.28651827235977656,0.28651827235977656
